smiles,property
COc1cccc(c1)c2ccc3\C(=C\c4[nH]c5CCCCc5c4CCC(=O)O)\C(=O)Nc3c2,5.87
COc1ccc2\C(=C\c3[nH]c4CCCCc4c3CCC(=O)O)\C(=O)Nc2c1,5.97
COc1cccc(c1)c2ccc3\C(=C\c4cc5CCCCc5[nH]4)\C(=O)Nc3c2,4.76
COc1ccccc1c2ccc3\C(=C\c4cc5CCCCc5[nH]4)\C(=O)Nc3c2,4.75
OC(=O)CCc1c2CCCCc2[nH]c1\C=C\3/C(=O)Nc4ccc(cc34)C(=O)O,6.66
OC(=O)CCc1c2CCCCc2[nH]c1\C=C\3/C(=O)Nc4cc(ccc34)c5ccccc5,5.9
COc1ccc(cc1)c2ccc3\C(=C\c4[nH]c5CCCCc5c4CCC(=O)O)\C(=O)Nc3c2,6.06
O=C1Nc2ccccc2/C/1=C/c3cc4CCCCc4[nH]3,4.98
OC(=O)CCc1c2CCCCc2[nH]c1\C=C\3/C(=O)Nc4ccc(Br)cc34,6.57
NS(=O)(=O)c1ccc2NC(=O)\C(=C/c3cc4CCCCc4[nH]3)\c2c1,6.66
Cc1c[nH]c(\C=C\2/C(=O)Nc3ccccc23)c1CCC(=O)O,5.0
Cc1cc(C)c(\C=C\2/C(=O)Nc3ccccc23)[nH]1,5.38
OC(=O)c1ccc2NC(=O)\C(=C/c3cc4CCCCc4[nH]3)\c2c1,6.51
NS(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c4CCCCc4c3CCC(=O)O)\c2c1,6.7
OC(=O)CCc1c2CCCCc2[nH]c1\C=C\3/C(=O)Nc4ccccc34,6.57
Brc1ccc2NC(=O)\C(=C/c3cc4CCCCc4[nH]3)\c2c1,4.88
COc1ccccc1c2ccc3\C(=C\c4[nH]c5CCCCc5c4CCC(=O)O)\C(=O)Nc3c2,7.1
CN1CCN(CC1)c2ccc(Nc3ncc4C=C(C(=O)N(C)c4n3)c5c(Cl)cccc5Cl)cc2,7.55
